epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
84,3205.28,0.86219,0.46603,1.04222,0.94561,0.92704,0.95531,0.72066,0.87702,0.43698,1.01566,0.000646194,0.000646194,0.000646194
85,3243.85,0.84677,0.46712,1.03476,0.94903,0.9302,0.95838,0.72151,0.88022,0.43101,1.00995,0.000636762,0.000636762,0.000636762
86,3282.25,0.85735,0.46406,1.04118,0.94541,0.93503,0.96261,0.72604,0.88079,0.42873,1.01262,0.000627331,0.000627331,0.000627331
87,3320.9,0.85073,0.46768,1.03618,0.94606,0.93201,0.95964,0.71608,0.89139,0.43445,1.0189,0.0006179,0.0006179,0.0006179
88,3359.55,0.8425,0.46347,1.03757,0.94863,0.92848,0.96241,0.72237,0.87792,0.43138,1.01478,0.000608468,0.000608468,0.000608468
89,3397.93,0.84383,0.4626,1.03778,0.93987,0.93525,0.95793,0.72235,0.87634,0.43058,1.00839,0.000599037,0.000599037,0.000599037
90,3436.44,0.8464,0.45718,1.03567,0.93658,0.94095,0.95441,0.71779,0.87752,0.42968,1.01094,0.000589605,0.000589605,0.000589605
91,3474.92,0.83923,0.45466,1.0364,0.94156,0.93292,0.95415,0.71686,0.88468,0.43474,1.01548,0.000580174,0.000580174,0.000580174
92,3513.27,0.83596,0.44909,1.02918,0.93293,0.93273,0.96156,0.72385,0.87407,0.42608,1.01117,0.000570743,0.000570743,0.000570743
93,3551.75,0.83272,0.45386,1.03128,0.93835,0.93461,0.96035,0.71852,0.8793,0.42796,1.01318,0.000561311,0.000561311,0.000561311
94,3590.25,0.82822,0.44522,1.02777,0.93824,0.9342,0.95536,0.71276,0.89109,0.42761,1.01627,0.00055188,0.00055188,0.00055188
95,3628.71,0.8307,0.44295,1.03462,0.93762,0.936,0.95629,0.7182,0.88414,0.42597,1.01392,0.000542448,0.000542448,0.000542448
96,3667.25,0.82574,0.44719,1.02599,0.94603,0.93148,0.95666,0.71797,0.88238,0.42573,1.01326,0.000533017,0.000533017,0.000533017
97,3705.69,0.82938,0.4422,1.02584,0.93441,0.93133,0.95506,0.71568,0.88575,0.43349,1.01394,0.000523586,0.000523586,0.000523586
98,3744.08,0.82286,0.44042,1.02726,0.94167,0.93252,0.95488,0.71935,0.87828,0.43079,1.01204,0.000514154,0.000514154,0.000514154
99,3782.64,0.82099,0.44661,1.03199,0.93109,0.93644,0.95201,0.71599,0.87207,0.43486,1.00798,0.000504723,0.000504723,0.000504723
100,3821.12,0.81359,0.43703,1.01774,0.93838,0.93123,0.95435,0.72038,0.87529,0.42917,1.00851,0.000495291,0.000495291,0.000495291
101,3859.62,0.8176,0.43818,1.02211,0.9397,0.9378,0.9537,0.71748,0.87838,0.43198,1.00946,0.00048586,0.00048586,0.00048586
102,3898.23,0.81021,0.43482,1.02118,0.93954,0.93186,0.95625,0.71641,0.87881,0.43005,1.01352,0.000476429,0.000476429,0.000476429
103,3936.72,0.81246,0.4368,1.02219,0.93847,0.9264,0.95693,0.71957,0.88156,0.43313,1.01687,0.000466997,0.000466997,0.000466997
104,3975.27,0.81235,0.43108,1.02104,0.93152,0.94101,0.95497,0.71404,0.88028,0.42774,1.01539,0.000457566,0.000457566,0.000457566
105,4013.79,0.80041,0.4293,1.01633,0.94241,0.93327,0.95765,0.71957,0.88309,0.42749,1.01748,0.000448134,0.000448134,0.000448134
106,4052.22,0.81478,0.436,1.02576,0.93634,0.93601,0.95408,0.71827,0.87409,0.42965,1.01212,0.000438703,0.000438703,0.000438703
