epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,9505.61,1.21011,1.00929,1.28383,0.88904,0.7635,0.85198,0.56659,1.01123,1.95316,1.10563,4.654e-05,4.654e-05,4.654e-05
56,9673.1,1.20867,1.00695,1.27793,0.88839,0.76386,0.85213,0.56679,1.01097,1.95569,1.1055,4.555e-05,4.555e-05,4.555e-05
57,9840.93,1.2106,1.01366,1.28246,0.88857,0.76395,0.85212,0.56682,1.01071,1.94966,1.10537,4.456e-05,4.456e-05,4.456e-05
58,10008.6,1.21091,1.00814,1.27867,0.88885,0.76392,0.85215,0.56706,1.01032,1.94207,1.10525,4.357e-05,4.357e-05,4.357e-05
59,10176.3,1.20627,1.01148,1.27922,0.8883,0.76412,0.8522,0.56731,1.00975,1.939,1.10512,4.258e-05,4.258e-05,4.258e-05
60,10343.7,1.21345,1.01189,1.28257,0.88844,0.76424,0.85239,0.56753,1.00933,1.92053,1.10493,4.159e-05,4.159e-05,4.159e-05
61,10511.4,1.21298,1.00829,1.27862,0.88903,0.76392,0.85249,0.56773,1.00892,1.90592,1.10477,4.06e-05,4.06e-05,4.06e-05
62,10679.4,1.20852,1.0094,1.28022,0.88925,0.76388,0.85263,0.56805,1.00837,1.88791,1.10448,3.961e-05,3.961e-05,3.961e-05
63,10848,1.20989,1.00706,1.27909,0.88941,0.76397,0.85282,0.56821,1.00787,1.87908,1.10424,3.862e-05,3.862e-05,3.862e-05
64,11019.1,1.21377,1.01019,1.28178,0.8899,0.76353,0.8528,0.56839,1.00741,1.87019,1.10394,3.763e-05,3.763e-05,3.763e-05
65,11194.9,1.21339,1.01338,1.28346,0.89022,0.76312,0.85286,0.56866,1.00698,1.86386,1.10385,3.664e-05,3.664e-05,3.664e-05
66,11376.6,1.20914,1.00756,1.27968,0.89021,0.76308,0.8529,0.56879,1.00658,1.8644,1.10375,3.565e-05,3.565e-05,3.565e-05
67,11560.4,1.20358,1.00617,1.27603,0.89001,0.76333,0.85286,0.56899,1.00612,1.85556,1.10354,3.466e-05,3.466e-05,3.466e-05
68,11743.5,1.21282,1.01201,1.28064,0.88982,0.76366,0.85297,0.5691,1.00576,1.8526,1.10345,3.367e-05,3.367e-05,3.367e-05
